,Column,Missing Values,Missing Percentage,KPI Relevant
MarketShare__c,MarketShare__c,5731,100,false
LastEvaluationDate__c,LastEvaluationDate__c,5731,100,false
TotalProcedureCommitments__c,TotalProcedureCommitments__c,5728,99.95,false
KneeProceduresCommitment__c,KneeProceduresCommitment__c,5728,99.95,false
HipProceduresCommitment__c,HipProceduresCommitment__c,5728,99.95,false
QuantityAgreed__c,QuantityAgreed__c,5716,99.74,false
Canceled_Date__c,Canceled_Date__c,5704,99.53,false
More_included_items__c,More_included_items__c,5699,99.44,false
YearlySupplierEvaluations__c,YearlySupplierEvaluations__c,5688,99.25,false
ActivatedById,ActivatedById,5681,99.13,false
ActivatedDate,ActivatedDate,5681,99.13,true
Inkludierte_Gerte__c,Inkludierte_Gerte__c,5655,98.67,false
ConsignmentValueDescription__c,ConsignmentValueDescription__c,5639,98.39,false
ConsignmentValue__c,ConsignmentValue__c,5630,98.24,false
Ambulante_Erstattung__c,Ambulante_Erstattung__c,5627,98.19,false
Rebate_Conditions__c,Rebate_Conditions__c,5623,98.12,false
Kits__c,Kits__c,5620,98.06,false
Canister__c,Canister__c,5619,98.05,false
CapitalValue__c,CapitalValue__c,5616,97.99,false
EMEA_Volume_annually__c,EMEA_Volume_annually__c,5562,97.05,false
Costs_per_Therapy_day__c,Costs_per_Therapy_day__c,5560,97.02,false
Therapy_days__c,Therapy_days__c,5559,97,false
Flat_rate_month__c,Flat_rate_month__c,5557,96.96,false
CapitalValueDescription__c,CapitalValueDescription__c,5532,96.53,false
CustomerSignedId,CustomerSignedId,5480,95.62,false
EMEA_Booking_Type__c,EMEA_Booking_Type__c,5363,93.58,false
SpecificServiceLevels__c,SpecificServiceLevels__c,5336,93.11,false
Parent_contract__c,Parent_contract__c,5335,93.09,false
Price_Increase_Opportunity_Date__c,Price_Increase_Opportunity_Date__c,5286,92.24,true
EMEA_Bonus_beneficiary__c,EMEA_Bonus_beneficiary__c,5249,91.59,false
Notice_Period__c,Notice_Period__c,5167,90.16,false
Price_Regulations_Notes__c,Price_Regulations_Notes__c,5157,89.98,false
Sub_BUs__c,Sub_BUs__c,4964,86.62,false
Terms_of_Payment__c,Terms_of_Payment__c,4916,85.78,false
Buying_Group__c,Buying_Group__c,4821,84.12,false
ExpectedPayoutPercentage__c,ExpectedPayoutPercentage__c,4799,83.74,false
EMEA_Expected_Sales__c,EMEA_Expected_Sales__c,4460,77.82,false
EMEA_Payout_period__c,EMEA_Payout_period__c,4412,76.98,false
EMEA_Bonus_type__c,EMEA_Bonus_type__c,4383,76.48,false
EMEA_Bonus_conditions__c,EMEA_Bonus_conditions__c,4377,76.37,false
AnnualSalesValue__c,AnnualSalesValue__c,4328,75.52,true
AnnualSalesValue_Converted,AnnualSalesValue_Converted,4328,75.52,false
AnnualSalesValue_Numeric,AnnualSalesValue_Numeric,4328,75.52,false
CustomerSignedDate,CustomerSignedDate,4173,72.81,false
Price_Conditions__c,Price_Conditions__c,4060,70.84,false
Sold_To_Account_ID__c,Sold_To_Account_ID__c,3649,63.67,false
SAP_Deal_Number__c,SAP_Deal_Number__c,3573,62.35,false
Old_contract_number__c,Old_contract_number__c,2877,50.2,false
Name,Name,2661,46.43,false
EMEA_Condition_type__c,EMEA_Condition_type__c,2083,36.35,false
Contract_Original_End_Date__c,Contract_Original_End_Date__c,1962,34.23,false
Document_Link__c,Document_Link__c,1741,30.38,false
EMEA_Bonus_contract__c,EMEA_Bonus_contract__c,351,6.12,false
Zeitpunkt_der_Erinnerung__c,Zeitpunkt_der_Erinnerung__c,301,5.25,false
Contract_Description__c,Contract_Description__c,210,3.66,false
EMEA_Type_of_contract__c,EMEA_Type_of_contract__c,102,1.78,false
Billing_City__c,Billing_City__c,91,1.59,false
EMEA_Notification_Date__c,EMEA_Notification_Date__c,75,1.31,true
Contract_End_Date__c,Contract_End_Date__c,75,1.31,true
ContractCountry__c,ContractCountry__c,64,1.12,false
Erinnerung_senden_an__c,Erinnerung_senden_an__c,42,0.73,false
BUs_included_in_Contract__c,BUs_included_in_Contract__c,39,0.68,false
StartDate,StartDate,12,0.21,true
ContractRegion__c,ContractRegion__c,1,0.02,false
_,_,0,0,false
AccountId,AccountId,0,0,false
ContractNumber,ContractNumber,0,0,false
Automatic_extension__c,Automatic_extension__c,0,0,false
Status,Status,0,0,true
CurrencyIsoCode,CurrencyIsoCode,0,0,false
LastModifiedById,LastModifiedById,0,0,false
CreatedById,CreatedById,0,0,false
OwnerId,OwnerId,0,0,false
AnnualSalesValue_Currency,AnnualSalesValue_Currency,0,0,false
